Date : 2023-07-02 17:06:12
Directory : c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src
Total : 258 files,  5679 codes, 126 comments, 1242 blanks, all 7047 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\User\glucose\glucose-record-list\glucose-record\glucose-record-create-dialog\glucose-record-create-dialog.component.css     | PostCSS    |          0 |          0 |          1 |          1 |
| c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\User\glucose\glucose-record-list\glucose-record\glucose-record-create-dialog\glucose-record-create-dialog.component.html    | HTML       |         29 |          0 |          2 |         31 |
| c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\User\glucose\glucose-record-list\glucose-record\glucose-record-create-dialog\glucose-record-create-dialog.component.spec.ts | TypeScript |         18 |          0 |          6 |         24 |
| c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\User\glucose\glucose-record-list\glucose-record\glucose-record-create-dialog\glucose-record-create-dialog.component.ts      | TypeScript |         21 |          0 |          3 |         24 |
| c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\User\glucose\glucose-record-list\glucose-record\glucose-record-delete-dialog\glucose-record-delete-dialog.component.css     | PostCSS    |          0 |          0 |          1 |          1 |
| c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\User\glucose\glucose-record-list\glucose-record\glucose-record-delete-dialog\glucose-record-delete-dialog.component.html    | HTML       |          9 |          0 |          1 |         10 |
| c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\User\glucose\glucose-record-list\glucose-record\glucose-record-delete-dialog\glucose-record-delete-dialog.component.spec.ts | TypeScript |         18 |          0 |          6 |         24 |
| c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\User\glucose\glucose-record-list\glucose-record\glucose-record-delete-dialog\glucose-record-delete-dialog.component.ts      | TypeScript |         19 |          0 |          4 |         23 |
| c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\User\glucose\glucose-record-list\glucose-record\glucose-record-update-dialog\glucose-record-update-dialog.component.css     | PostCSS    |          0 |          0 |          1 |          1 |
| c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\User\glucose\glucose-record-list\glucose-record\glucose-record-update-dialog\glucose-record-update-dialog.component.html    | HTML       |         29 |          0 |          2 |         31 |
| c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\User\glucose\glucose-record-list\glucose-record\glucose-record-update-dialog\glucose-record-update-dialog.component.spec.ts | TypeScript |         18 |          0 |          6 |         24 |
| c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\User\glucose\glucose-record-list\glucose-record\glucose-record-update-dialog\glucose-record-update-dialog.component.ts      | TypeScript |         19 |          0 |          3 |         22 |
| c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\User\glucose\glucose-record-list\glucose-record\glucose-record.component.css                                                | PostCSS    |          4 |         17 |          4 |         25 |
| c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\User\glucose\glucose-record-list\glucose-record\glucose-record.component.html                                               | HTML       |         15 |          0 |          1 |         16 |
| c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\User\glucose\glucose-record-list\glucose-record\glucose-record.component.spec.ts                                            | TypeScript |         17 |          0 |          5 |         22 |
| c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\User\glucose\glucose-record-list\glucose-record\glucose-record.component.ts                                                 | TypeScript |         83 |          0 |         14 |         97 |
| c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\User\glucose\glucose.component.css                                                                                          | PostCSS    |          0 |         11 |          1 |         12 |
| c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\User\glucose\glucose.component.html                                                                                         | HTML       |         15 |          0 |          2 |         17 |
| c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\User\glucose\glucose.component.spec.ts                                                                                      | TypeScript |         17 |          0 |          5 |         22 |
| c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\User\glucose\glucose.component.ts                                                                                           | TypeScript |         31 |          0 |         12 |         43 |
| c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\User\glucose\glucose.spec.ts                                                                                                | TypeScript |          6 |          0 |          2 |          8 |
| c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\User\glucose\glucose.ts                                                                                                     | TypeScript |         14 |          0 |          2 |         16 |
| c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\User\glucose\update-glucose-request.spec.ts                                                                                 | TypeScript |          6 |          0 |          2 |          8 |
| c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\User\glucose\update-glucose-request.ts                                                                                      | TypeScript |          9 |          0 |          3 |         12 |
| c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\User\mails\mail-list\mail-list.component.css                                                                                | PostCSS    |          0 |          0 |          1 |          1 |
| c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\User\mails\mail-list\mail-list.component.html                                                                               | HTML       |         28 |          0 |          4 |         32 |
| c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\User\mails\mail-list\mail-list.component.spec.ts                                                                            | TypeScript |         18 |          0 |          6 |         24 |
| c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\User\mails\mail-list\mail-list.component.ts                                                                                 | TypeScript |        104 |          0 |         20 |        124 |
| c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\User\mails\mail-list\mail\mail-create-dialog\mail-create-dialog.component.css                                               | PostCSS    |          0 |          0 |          1 |          1 |
| c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\User\mails\mail-list\mail\mail-create-dialog\mail-create-dialog.component.html                                              | HTML       |         29 |          0 |          1 |         30 |
| c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\User\mails\mail-list\mail\mail-create-dialog\mail-create-dialog.component.spec.ts                                           | TypeScript |         18 |          0 |          6 |         24 |
| c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\User\mails\mail-list\mail\mail-create-dialog\mail-create-dialog.component.ts                                                | TypeScript |         21 |          0 |          4 |         25 |
| c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\User\mails\mail-list\mail\mail-delete-dialog\mail-delete-dialog.component.css                                               | PostCSS    |          0 |          0 |          1 |          1 |
| c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\User\mails\mail-list\mail\mail-delete-dialog\mail-delete-dialog.component.html                                              | HTML       |          9 |          0 |          1 |         10 |
| c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\User\mails\mail-list\mail\mail-delete-dialog\mail-delete-dialog.component.spec.ts                                           | TypeScript |         18 |          0 |          6 |         24 |
| c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\User\mails\mail-list\mail\mail-delete-dialog\mail-delete-dialog.component.ts                                                | TypeScript |         19 |          0 |          4 |         23 |
| c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\User\mails\mail-list\mail\mail-update-dialog\mail-update-dialog.component.css                                               | PostCSS    |          0 |          0 |          1 |          1 |
| c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\User\mails\mail-list\mail\mail-update-dialog\mail-update-dialog.component.html                                              | HTML       |         29 |          0 |          1 |         30 |
| c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\User\mails\mail-list\mail\mail-update-dialog\mail-update-dialog.component.spec.ts                                           | TypeScript |         18 |          0 |          6 |         24 |
| c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\User\mails\mail-list\mail\mail-update-dialog\mail-update-dialog.component.ts                                                | TypeScript |         21 |          0 |          4 |         25 |
| c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\User\mails\mail-list\mail\mail.component.css                                                                                | PostCSS    |          0 |          0 |          1 |          1 |
| c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\User\mails\mail-list\mail\mail.component.html                                                                               | HTML       |         28 |          0 |          2 |         30 |
| c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\User\mails\mail-list\mail\mail.component.spec.ts                                                                            | TypeScript |         18 |          0 |          6 |         24 |
| c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\User\mails\mail-list\mail\mail.component.ts                                                                                 | TypeScript |         39 |          3 |          7 |         49 |
| c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\User\mails\mail-request.spec.ts                                                                                             | TypeScript |          6 |          0 |          2 |          8 |
| c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\User\mails\mail-request.ts                                                                                                  | TypeScript |         16 |          0 |          2 |         18 |
| c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\User\mails\mail-template-dto.spec.ts                                                                                        | TypeScript |          6 |          0 |          2 |          8 |
| c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\User\mails\mail-template-dto.ts                                                                                             | TypeScript |         17 |          0 |          2 |         19 |
| c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\User\mails\mails.component.css                                                                                              | PostCSS    |          0 |          0 |          1 |          1 |
| c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\User\mails\mails.component.html                                                                                             | HTML       |          3 |          0 |          1 |          4 |
| c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\User\mails\mails.component.spec.ts                                                                                          | TypeScript |         18 |          0 |          6 |         24 |
| c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\User\mails\mails.component.ts                                                                                               | TypeScript |          8 |          0 |          3 |         11 |
| c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\User\reports\reports.component.css                                                                                          | PostCSS    |          4 |          0 |          1 |          5 |
| c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\User\reports\reports.component.html                                                                                         | HTML       |         43 |          0 |          6 |         49 |
| c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\User\reports\reports.component.spec.ts                                                                                      | TypeScript |         18 |          0 |          6 |         24 |
| c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\User\reports\reports.component.ts                                                                                           | TypeScript |         68 |          6 |         10 |         84 |
| c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\header\_header.component-theme.scss                                                                                         | SCSS       |          9 |          0 |          4 |         13 |
| c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\header\header.component.css                                                                                                 | PostCSS    |          3 |          0 |          2 |          5 |
| c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\header\header.component.html                                                                                                | HTML       |         39 |          0 |          1 |         40 |
| c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\header\header.component.scss                                                                                                | SCSS       |          3 |          0 |          2 |          5 |
| c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\header\header.component.spec.ts                                                                                             | TypeScript |         17 |          0 |          5 |         22 |
| c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\header\header.component.ts                                                                                                  | TypeScript |         32 |          0 |          7 |         39 |
| c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\logged-in.component.css                                                                                                     | PostCSS    |          0 |          0 |          1 |          1 |
| c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\logged-in.component.html                                                                                                    | HTML       |          8 |          0 |          3 |         11 |
| c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\logged-in.component.spec.ts                                                                                                 | TypeScript |         18 |          0 |          6 |         24 |
| c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\logged-in.component.ts                                                                                                      | TypeScript |         13 |          0 |          4 |         17 |
| c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\my-profile\my-profile.component.css                                                                                         | PostCSS    |         13 |          0 |          5 |         18 |
| c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\my-profile\my-profile.component.html                                                                                        | HTML       |         82 |          0 |         13 |         95 |
| c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\my-profile\my-profile.component.spec.ts                                                                                     | TypeScript |         18 |          0 |          6 |         24 |
| c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\my-profile\my-profile.component.ts                                                                                          | TypeScript |         70 |          0 |         11 |         81 |
| c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\my-profile\update-user-profile-request.spec.ts                                                                              | TypeScript |          6 |          0 |          2 |          8 |
| c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\my-profile\update-user-profile-request.ts                                                                                   | TypeScript |         12 |          0 |          2 |         14 |
| c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\report-notifications\report-notifications.component.css                                                                     | PostCSS    |          0 |          0 |          1 |          1 |
| c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\report-notifications\report-notifications.component.html                                                                    | HTML       |         22 |          0 |          1 |         23 |
| c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\report-notifications\report-notifications.component.spec.ts                                                                 | TypeScript |         18 |          0 |          6 |         24 |
| c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\report-notifications\report-notifications.component.ts                                                                      | TypeScript |         65 |          0 |          7 |         72 |
| c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\page-not-found\page-not-found.component.css                                                                                           | PostCSS    |          0 |          0 |          1 |          1 |
| c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\page-not-found\page-not-found.component.html                                                                                          | HTML       |          1 |          0 |          1 |          2 |
| c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\page-not-found\page-not-found.component.spec.ts                                                                                       | TypeScript |         17 |          0 |          5 |         22 |
| c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\page-not-found\page-not-found.component.ts                                                                                            | TypeScript |          8 |          0 |          3 |         11 |
| c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\presentation\about\about.component.css                                                                                                | PostCSS    |          0 |         11 |          1 |         12 |
| c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\presentation\about\about.component.html                                                                                               | HTML       |          7 |          0 |          5 |         12 |
| c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\presentation\about\about.component.spec.ts                                                                                            | TypeScript |         17 |          0 |          5 |         22 |
| c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\presentation\about\about.component.ts                                                                                                 | TypeScript |          8 |          0 |          3 |         11 |
| c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\presentation\home\home.component.css                                                                                                  | PostCSS    |          0 |         11 |          1 |         12 |
| c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\presentation\home\home.component.html                                                                                                 | HTML       |          7 |          0 |          4 |         11 |
| c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\presentation\home\home.component.spec.ts                                                                                              | TypeScript |         17 |          0 |          5 |         22 |
| c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\presentation\home\home.component.ts                                                                                                   | TypeScript |          8 |          0 |          3 |         11 |
| c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\presentation\login\forgot-password-dialog\forgot-password-dialog.component.css                                                        | PostCSS    |          0 |          0 |          1 |          1 |
| c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\presentation\login\forgot-password-dialog\forgot-password-dialog.component.html                                                       | HTML       |         12 |          0 |          2 |         14 |
| c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\presentation\login\forgot-password-dialog\forgot-password-dialog.component.spec.ts                                                    | TypeScript |         18 |          0 |          6 |         24 |
| c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\presentation\login\forgot-password-dialog\forgot-password-dialog.component.ts                                                         | TypeScript |         18 |          0 |          4 |         22 |
| c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\presentation\login\internal-login-request.spec.ts                                                                                     | TypeScript |          6 |          0 |          2 |          8 |
| c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\presentation\login\internal-login-request.ts                                                                                          | TypeScript |          8 |          0 |          2 |         10 |
| c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\presentation\login\login.component.css                                                                                                | PostCSS    |         55 |          3 |         14 |         72 |
| c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\presentation\login\login.component.html                                                                                               | HTML       |         59 |          0 |         15 |         74 |
| c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\presentation\login\login.component.spec.ts                                                                                            | TypeScript |         18 |          0 |          6 |         24 |
| c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\presentation\login\login.component.ts                                                                                                 | TypeScript |        127 |          5 |         22 |        154 |
| c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\presentation\presentation-choices\presentation-choices.component.css                                                                  | PostCSS    |         26 |          0 |          7 |         33 |
| c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\presentation\presentation-choices\presentation-choices.component.html                                                                 | HTML       |         80 |          0 |          8 |         88 |
| c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\presentation\presentation-choices\presentation-choices.component.spec.ts                                                              | TypeScript |         18 |          0 |          6 |         24 |
| c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\presentation\presentation-choices\presentation-choices.component.ts                                                                   | TypeScript |          8 |          0 |          3 |         11 |
| c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\presentation\presentation-content\presentation-content.component.css                                                                  | PostCSS    |         15 |          0 |          3 |         18 |
| c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\presentation\presentation-content\presentation-content.component.html                                                                 | HTML       |         19 |          0 |          8 |         27 |
| c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\presentation\presentation-content\presentation-content.component.spec.ts                                                              | TypeScript |         18 |          0 |          6 |         24 |
| c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\presentation\presentation-content\presentation-content.component.ts                                                                   | TypeScript |          8 |          0 |          3 |         11 |
| c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\presentation\presentation-footer\presentation-footer.component.css                                                                    | PostCSS    |         36 |          0 |          8 |         44 |
| c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\presentation\presentation-footer\presentation-footer.component.html                                                                   | HTML       |         26 |          0 |          2 |         28 |
| c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\presentation\presentation-footer\presentation-footer.component.spec.ts                                                                | TypeScript |         18 |          0 |          6 |         24 |
| c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\presentation\presentation-footer\presentation-footer.component.ts                                                                     | TypeScript |          8 |          0 |          3 |         11 |
| c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\presentation\presentation-front\presentation-front.component.css                                                                      | PostCSS    |          4 |          0 |          2 |          6 |
| c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\presentation\presentation-front\presentation-front.component.html                                                                     | HTML       |         21 |          0 |          4 |         25 |
| c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\presentation\presentation-front\presentation-front.component.spec.ts                                                                  | TypeScript |         18 |          0 |          6 |         24 |
| c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\presentation\presentation-front\presentation-front.component.ts                                                                       | TypeScript |          8 |          0 |          3 |         11 |
| c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\presentation\presentation-header\presentation-header.component.css                                                                    | PostCSS    |          0 |          0 |          1 |          1 |
| c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\presentation\presentation-header\presentation-header.component.html                                                                   | HTML       |         18 |          0 |          1 |         19 |
| c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\presentation\presentation-header\presentation-header.component.spec.ts                                                                | TypeScript |         18 |          0 |          6 |         24 |
| c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\presentation\presentation-header\presentation-header.component.ts                                                                     | TypeScript |         12 |          0 |          2 |         14 |
| c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\presentation\presentation.component.css                                                                                               | PostCSS    |          8 |          0 |          2 |         10 |
| c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\presentation\presentation.component.html                                                                                              | HTML       |         11 |          0 |          8 |         19 |
| c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\presentation\presentation.component.spec.ts                                                                                           | TypeScript |         18 |          0 |          6 |         24 |
| c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\presentation\presentation.component.ts                                                                                                | TypeScript |          8 |          0 |          3 |         11 |
| c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\presentation\register\internal-register-request.spec.ts                                                                               | TypeScript |          6 |          0 |          2 |          8 |
| c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\presentation\register\internal-register-request.ts                                                                                    | TypeScript |         18 |          0 |          2 |         20 |
| c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\presentation\register\register.component.css                                                                                          | PostCSS    |         35 |          0 |          7 |         42 |
| c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\presentation\register\register.component.html                                                                                         | HTML       |        106 |          0 |         13 |        119 |
| c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\presentation\register\register.component.spec.ts                                                                                      | TypeScript |         18 |          0 |          6 |         24 |
| c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\presentation\register\register.component.ts                                                                                           | TypeScript |         95 |          5 |         14 |        114 |
| c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\presentation\reset-password\reset-password.component.css                                                                              | PostCSS    |          0 |          0 |          1 |          1 |
| c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\presentation\reset-password\reset-password.component.html                                                                             | HTML       |         46 |          0 |          5 |         51 |
| c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\presentation\reset-password\reset-password.component.spec.ts                                                                          | TypeScript |         18 |          0 |          6 |         24 |
| c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\presentation\reset-password\reset-password.component.ts                                                                               | TypeScript |         41 |          0 |          6 |         47 |
| c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\services\Food\food.service.spec.ts                                                                                                    | TypeScript |         12 |          0 |          5 |         17 |
| c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\services\Food\food.service.ts                                                                                                         | TypeScript |         60 |          0 |         16 |         76 |
| c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\services\Glucose\glucose.service.spec.ts                                                                                              | TypeScript |         12 |          0 |          5 |         17 |
| c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\services\Glucose\glucose.service.ts                                                                                                   | TypeScript |         55 |          0 |         12 |         67 |
| c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\services\Mails\mail.service.spec.ts                                                                                                   | TypeScript |         12 |          0 |          5 |         17 |
| c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\services\Mails\mail.service.ts                                                                                                        | TypeScript |         56 |          0 |         17 |         73 |
| c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\services\MyApplicationExceptions\my-app-exceptions.service.spec.ts                                                                    | TypeScript |         12 |          0 |          5 |         17 |
| c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\services\MyApplicationExceptions\my-app-exceptions.service.ts                                                                         | TypeScript |         16 |          0 |          5 |         21 |
| c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\services\Reports\reports.service.spec.ts                                                                                              | TypeScript |         12 |          0 |          5 |         17 |
| c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\services\Reports\reports.service.ts                                                                                                   | TypeScript |         21 |          0 |          6 |         27 |
| c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\services\Users\users.service.spec.ts                                                                                                  | TypeScript |         12 |          0 |          5 |         17 |
| c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\services\Users\users.service.ts                                                                                                       | TypeScript |         51 |          0 |         13 |         64 |
| c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\services\auth.service.spec.ts                                                                                                         | TypeScript |         12 |          0 |          5 |         17 |
| c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\services\auth.service.ts                                                                                                              | TypeScript |         85 |          0 |         16 |        101 |
| c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\services\spinner.service.spec.ts                                                                                                      | TypeScript |         12 |          0 |          5 |         17 |
| c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\services\spinner.service.ts                                                                                                           | TypeScript |         17 |          0 |          6 |         23 |
| c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\services\theme.service.spec.ts                                                                                                        | TypeScript |         12 |          0 |          5 |         17 |
| c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\services\theme.service.ts                                                                                                             | TypeScript |         16 |          1 |          3 |         20 |
